Designator,Mid X,Mid Y,Rotation,Layer
SR-30,79.2395,-76.3,270.0,bottom
SR-31,98.2895,-76.3,270.0,bottom
SR-32,117.3395,-76.3,270.0,bottom
SR-33,136.3895,-76.3,270.0,bottom
SR-34,155.4395,-76.3,270.0,bottom
SR-35,174.4895,-76.3,270.0,bottom
SR-36,193.5395,-76.3,270.0,bottom
SR-37,212.5895,-76.3,270.0,bottom
SR-38,231.6395,-76.3,270.0,bottom
SR-39,250.6895,-76.3,270.0,bottom
SR-4,103.052,-38.2,270.0,bottom
SR-40,269.7395,-76.3,270.0,bottom
SR-41,300.69575,-76.3,270.0,bottom
SR-42,331.652,-76.3,270.0,bottom
SR-43,57.80825,-95.35,270.0,bottom
SR-44,88.7645,-95.35,270.0,bottom
SR-45,107.8145,-95.35,270.0,bottom
SR-46,126.8645,-95.35,270.0,bottom
SR-47,145.9145,-95.35,270.0,bottom
SR-48,164.9645,-95.35,270.0,bottom
SR-49,184.0145,-95.35,270.0,bottom
SR-5,122.102,-38.2,270.0,bottom
SR-50,203.0645,-95.35,270.0,bottom
SR-51,222.1145,-95.35,270.0,bottom
SR-52,241.1645,-95.35,270.0,bottom
SR-53,260.2145,-95.35,270.0,bottom
SR-54,295.93325,-95.35,270.0,bottom
SR-55,331.652,-95.35,270.0,bottom
SR-56,48.28325,-114.4,270.0,bottom
SR-57,72.09575,-114.4,270.0,bottom
SR-58,95.90825,-114.4,270.0,bottom
SR-59,167.34575,-114.4,270.0,bottom
SR-6,141.152,-38.2,270.0,bottom
SR-60,238.78325,-114.4,270.0,bottom
SR-61,262.59575,-114.4,270.0,bottom
SR-62,286.40825,-114.4,270.0,bottom
SR-63,310.22075,-114.4,270.0,bottom
SR-64,331.652,-114.4,270.0,bottom
SR-7,160.202,-38.2,270.0,bottom
SR-8,179.252,-38.2,270.0,bottom
SR-9,198.302,-38.2,270.0,bottom
SU1,35.263767,-36.4625,120.0,bottom
SU10,206.713767,-36.4625,120.0,bottom
SU11,225.763767,-36.4625,120.0,bottom
SU12,244.813767,-36.4625,120.0,bottom
SU13,263.863767,-36.4625,120.0,bottom
SU14,292.438767,-36.4625,120.0,bottom
SU15,40.026267,-55.5125,120.0,bottom
SU16,63.838767,-55.5125,120.0,bottom
SU17,82.888767,-55.5125,120.0,bottom
SU18,101.938767,-55.5125,120.0,bottom
SU19,120.988767,-55.5125,120.0,bottom
SU2,54.313767,-36.4625,120.0,bottom
SU20,140.038767,-55.5125,120.0,bottom
SU21,159.088767,-55.5125,120.0,bottom
SU22,178.138767,-55.5125,120.0,bottom
SU23,197.188767,-55.5125,120.0,bottom
SU24,216.238767,-55.5125,120.0,bottom
SU25,235.288767,-55.5125,120.0,bottom
SU26,254.338767,-55.5125,120.0,bottom
SU27,273.388767,-55.5125,120.0,bottom
SU28,297.201267,-55.5125,120.0,bottom
SU29,42.407517,-74.5625,120.0,bottom
SU3,73.363767,-36.4625,120.0,bottom
SU30,68.601267,-74.5625,120.0,bottom
SU31,87.651267,-74.5625,120.0,bottom
SU32,106.701267,-74.5625,120.0,bottom
SU33,125.751267,-74.5625,120.0,bottom
SU34,144.801267,-74.5625,120.0,bottom
SU35,163.851267,-74.5625,120.0,bottom
SU36,182.901267,-74.5625,120.0,bottom
SU37,201.951267,-74.5625,120.0,bottom
SU38,221.001267,-74.5625,120.0,bottom
SU39,240.051267,-74.5625,120.0,bottom
SU4,92.413767,-36.4625,120.0,bottom
SU40,259.101267,-74.5625,120.0,bottom
SU41,290.057517,-74.5625,120.0,bottom
SU42,321.013767,-74.5625,120.0,bottom
SU43,47.170017,-93.6125,120.0,bottom
SU44,78.126267,-93.6125,120.0,bottom
SU45,97.176267,-93.6125,120.0,bottom
SU46,116.226267,-93.6125,120.0,bottom
SU47,135.276267,-93.6125,120.0,bottom
SU48,154.326267,-93.6125,120.0,bottom
SU49,173.376267,-93.6125,120.0,bottom
SU5,111.463767,-36.4625,120.0,bottom
SU50,192.426267,-93.6125,120.0,bottom
SU51,211.476267,-93.6125,120.0,bottom
SU52,230.526267,-93.6125,120.0,bottom
SU53,249.576267,-93.6125,120.0,bottom
SU54,285.295017,-93.6125,120.0,bottom
SU55,321.013767,-93.6125,120.0,bottom
SU56,37.645017,-112.6625,120.0,bottom
SU57,61.457517,-112.6625,120.0,bottom
SU58,85.270017,-112.6625,120.0,bottom
SU59,156.707517,-112.6625,120.0,bottom
SU6,130.513767,-36.4625,120.0,bottom
SU60,228.145017,-112.6625,120.0,bottom
SU61,251.957517,-112.6625,120.0,bottom
SU62,275.770017,-112.6625,120.0,bottom
SU63,299.582517,-112.6625,120.0,bottom
SU64,321.013767,-112.6625,120.0,bottom
SU7,149.563767,-36.4625,120.0,bottom
SU8,168.613767,-36.4625,120.0,bottom
SU9,187.663767,-36.4625,120.0,bottom
SW1,323.6,-38.1,0.0,top
U1,145.25,-166.33,0.0,bottom
U10,78.515,-178.97,0.0,bottom
U11,71.735,-154.1,0.0,bottom
U12,57.885,-141.77,0.0,bottom
U13,78.515,-170.68,0.0,bottom
U14,71.735,-162.39,0.0,bottom
U15,85.295,-178.97,0.0,bottom
U16,71.445,-141.77,0.0,bottom
U17,58.175,-154.1,0.0,bottom
U18,85.295,-170.68,0.0,bottom
U19,64.955,-154.1,0.0,bottom
U2,199.0,-114.0,270.0,bottom
U20,78.515,-154.1,0.0,bottom
U3,132.51,-119.1,0.0,bottom
U4,103.96,-164.39,0.0,bottom
U5,102.39,-47.625,90.0,bottom
U6,107.15,-47.635,90.0,bottom
U7,254.79,-47.625,90.0,bottom
U8,259.55,-47.635,90.0,bottom
U9,85.295,-162.39,0.0,bottom
Y1,211.98,-112.31,270.0,bottom
